bike,car,walk,search,age,thoughtBike,thoughtCar,thoughtWalk
17,424,59,500,49.1781,46,409,45
18,424,58,266,49.1981,29,200,37
18,426,56,268,49.2181,34,196,38
18,427,55,254,49.2381,24,190,40
19,427,54,247,49.2581,23,183,41
19,427,54,246,49.2781,28,180,38
19,428,53,251,49.2981,27,185,39
20,428,52,232,49.3181,26,163,43
21,428,51,243,49.3381,26,178,39
21,429,50,246,49.3581,21,183,42
21,429,50,242,49.3781,30,172,40
19,431,50,267,49.3981,25,201,41
19,431,50,245,49.4181,27,177,41
19,430,51,230,49.4381,27,166,37
19,430,51,242,49.4581,23,178,41
19,431,50,249,49.4781,29,181,39
19,431,50,258,49.4981,26,191,41
18,432,50,241,49.5181,28,174,39
18,432,50,243,49.5381,28,174,41
18,433,49,235,49.5581,31,161,43
18,433,49,238,49.5781,22,180,36
18,433,49,246,49.5981,22,184,40
18,434,48,229,49.6181,27,165,37
19,433,48,241,49.6381,30,170,41
20,432,48,240,49.6581,26,169,45
20,432,48,238,49.6781,23,175,40
20,432,48,240,49.6981,24,176,40
20,432,48,248,49.7181,22,182,44
21,431,48,249,49.7381,23,184,42
22,430,48,250,49.7581,30,179,41
24,428,48,256,49.7781,32,184,40
25,427,48,253,49.7981,28,181,44
25,427,48,251,49.8181,27,176,48
24,427,49,236,49.8381,32,162,42
24,427,49,232,49.8581,27,163,42
22,427,51,246,49.8781,27,177,42
23,426,51,256,49.8981,32,180,44
23,426,51,243,49.9181,27,174,42
25,424,51,228,49.9381,26,160,42
27,422,51,244,49.9581,29,172,43
28,421,51,254,49.9781,29,184,41
29,420,51,238,49.9981,28,165,45
30,419,51,249,50.0181,28,176,45
31,418,51,241,50.0381,29,173,39
31,418,51,250,50.0581,33,173,44
32,417,51,258,50.0781,31,182,45
32,417,51,240,50.0981,31,164,45
32,417,51,236,50.1181,27,168,41
32,417,51,252,50.1381,32,173,47
32,417,51,264,50.1581,31,192,41
33,416,51,244,50.1781,27,173,44
34,415,51,245,50.1981,33,170,42
34,415,51,260,50.2181,27,184,49
34,415,51,251,50.2381,32,177,42
36,413,51,246,50.2581,31,167,48
35,413,52,241,50.2781,31,162,48
35,413,52,230,50.2981,25,160,45
35,413,52,248,50.3181,29,173,46
34,414,52,241,50.3381,28,169,44
33,414,53,249,50.3581,26,176,47
34,413,53,229,50.3781,29,156,44
34,413,53,243,50.3981,30,165,48
35,412,53,243,50.4181,28,170,45
33,414,53,249,50.4381,25,182,42
34,413,53,251,50.4581,33,174,44
34,413,53,244,50.4781,30,169,45
34,413,53,259,50.4981,30,178,51
34,412,54,232,50.5181,30,156,46
33,413,54,256,50.5381,30,179,47
33,413,54,242,50.5581,29,171,42
34,412,54,243,50.5781,31,165,47
35,411,54,243,50.5981,33,168,42
34,412,54,257,50.6181,27,181,49
34,412,54,234,50.6381,28,158,48
34,412,54,247,50.6581,28,182,37
34,412,54,263,50.6781,29,188,46
35,411,54,247,50.6981,32,168,47
34,412,54,252,50.7181,28,175,49
34,412,54,246,50.7381,31,176,39
34,412,54,252,50.7581,29,174,49
34,412,54,250,50.7781,28,180,42
33,413,54,243,50.7981,31,162,50
33,413,54,243,50.8181,32,170,41
32,414,54,254,50.8381,26,180,48
32,414,54,271,50.8581,30,195,46
32,414,54,230,50.8781,30,152,48
32,414,54,251,50.8981,29,176,46
32,414,54,263,50.9181,31,185,47
32,414,54,253,50.9381,27,180,46
33,413,54,254,50.9581,28,176,50
33,413,54,261,50.9781,30,187,44
33,413,54,251,50.9981,27,182,42
33,413,54,249,51.0181,30,172,47
33,413,54,260,51.0381,29,188,43
33,413,54,260,51.0581,33,184,43
34,412,54,272,51.0781,30,191,51
34,412,54,225,51.0981,26,162,37
34,412,54,274,51.1181,27,200,47
35,411,54,266,51.1381,31,192,43
