bike,car,walk,search,age,thoughtBike,thoughtCar,thoughtWalk
17,424,59,500,49.1781,28,424,48
17,424,59,193,49.1981,19,150,24
19,422,59,187,49.2181,18,151,18
18,422,60,189,49.2381,16,152,21
16,424,60,169,49.2581,14,136,19
16,424,60,179,49.2781,17,137,25
15,425,60,191,49.2981,17,152,22
16,424,60,184,49.3181,17,148,19
16,424,60,176,49.3381,19,140,17
16,424,60,178,49.3581,19,138,21
16,424,60,184,49.3781,18,145,21
16,424,60,186,49.3981,15,149,22
16,424,60,158,49.4181,15,124,19
16,424,60,161,49.4381,18,122,21
17,423,60,197,49.4581,19,157,21
17,423,60,195,49.4781,19,154,22
18,422,60,180,49.4981,18,140,22
17,422,61,180,49.5181,17,142,21
17,422,61,179,49.5381,22,142,15
17,422,61,182,49.5581,17,144,21
17,422,61,195,49.5781,19,151,25
17,422,61,199,49.5981,20,155,24
17,422,61,173,49.6181,15,135,23
17,422,61,187,49.6381,20,142,25
17,421,62,172,49.6581,18,136,18
17,421,62,183,49.6781,20,133,30
17,421,62,168,49.6981,21,129,18
17,421,62,180,49.7181,17,134,29
17,420,63,181,49.7381,18,144,19
17,420,63,182,49.7581,17,149,16
18,419,63,200,49.7781,19,155,26
18,419,63,209,49.7981,22,162,25
18,419,63,183,49.8181,16,144,23
18,419,63,179,49.8381,18,140,21
18,419,63,174,49.8581,19,135,20
19,418,63,180,49.8781,19,136,25
19,418,63,185,49.8981,18,152,15
18,418,64,170,49.9181,19,127,24
18,418,64,182,49.9381,18,139,25
18,417,65,175,49.9581,17,139,19
18,417,65,174,49.9781,16,136,22
18,417,65,199,49.9981,18,153,28
18,417,65,196,50.0181,16,155,25
18,417,65,186,50.0381,19,137,30
19,416,65,169,50.0581,19,134,16
19,416,65,188,50.0781,18,145,25
19,416,65,178,50.0981,19,137,22
20,415,65,180,50.1181,21,139,20
21,414,65,176,50.1381,20,131,25
22,413,65,167,50.1581,21,131,15
22,413,65,195,50.1781,21,153,21
21,414,65,185,50.1981,20,143,22
21,414,65,193,50.2181,23,148,22
21,414,65,181,50.2381,19,138,24
21,414,65,214,50.2581,22,166,26
21,413,66,199,50.2781,21,154,24
20,414,66,195,50.2981,22,150,23
20,414,66,190,50.3181,21,146,23
21,413,66,186,50.3381,22,143,21
21,413,66,187,50.3581,22,145,20
21,413,66,181,50.3781,22,134,25
21,413,66,179,50.3981,23,131,25
21,413,66,171,50.4181,21,128,22
21,413,66,178,50.4381,22,136,20
21,413,66,202,50.4581,21,162,19
21,413,66,175,50.4781,20,135,20
22,412,66,195,50.4981,24,148,23
22,412,66,178,50.5181,17,134,27
22,412,66,168,50.5381,16,128,24
23,411,66,169,50.5581,21,136,12
24,410,66,201,50.5781,20,159,22
24,410,66,180,50.5981,22,135,23
24,410,66,197,50.6181,23,150,24
24,410,66,183,50.6381,20,138,25
24,410,66,177,50.6581,21,136,20
24,410,66,179,50.6781,23,130,26
23,411,66,190,50.6981,20,145,25
24,410,66,179,50.7181,24,130,25
24,410,66,190,50.7381,20,148,22
24,410,66,177,50.7581,23,134,20
24,410,66,187,50.7781,23,144,20
24,410,66,186,50.7981,22,139,25
24,410,66,192,50.8181,22,148,22
24,410,66,189,50.8381,24,145,20
24,410,66,186,50.8581,22,136,28
24,410,66,188,50.8781,23,146,19
24,410,66,197,50.8981,21,153,23
24,410,66,180,50.9181,23,132,25
23,411,66,180,50.9381,23,133,24
24,410,66,195,50.9581,23,153,19
24,410,66,219,50.9781,22,174,23
24,410,66,195,50.9981,24,147,24
24,410,66,202,51.0181,21,153,28
24,410,66,173,51.0381,22,127,24
24,410,66,193,51.0581,20,151,22
24,410,66,203,51.0781,22,162,19
24,410,66,191,51.0981,23,149,19
24,410,66,191,51.1181,23,148,20
24,410,66,202,51.1381,23,156,23
