bike,car,walk,search,age,thoughtBike,thoughtCar,thoughtWalk
17,424,59,500,49.1781,46,409,45
18,424,58,276,49.1981,25,214,37
20,423,57,254,49.2181,26,190,38
21,422,57,246,49.2381,31,179,36
22,423,55,267,49.2581,36,193,38
24,423,53,260,49.2781,26,190,44
25,422,53,265,49.2981,26,197,42
23,423,54,244,49.3181,26,181,37
23,424,53,253,49.3381,21,192,40
26,421,53,269,49.3581,26,201,42
26,422,52,257,49.3781,29,189,39
26,424,50,256,49.3981,26,189,41
26,424,50,256,49.4181,28,182,46
26,426,48,243,49.4381,27,171,45
27,424,49,249,49.4581,27,179,43
26,424,50,250,49.4781,24,182,44
27,423,50,258,49.4981,26,189,43
28,422,50,250,49.5181,31,176,43
29,421,50,231,49.5381,21,169,41
28,422,50,260,49.5581,27,185,48
28,422,50,233,49.5781,26,161,46
29,421,50,260,49.5981,28,188,44
29,421,50,242,49.6181,26,173,43
30,420,50,234,49.6381,32,158,44
29,421,50,247,49.6581,30,172,45
29,420,51,277,49.6781,32,200,45
30,420,50,253,49.6981,30,181,42
30,419,51,237,49.7181,28,171,38
31,418,51,244,49.7381,28,170,46
30,418,52,238,49.7581,23,174,41
30,418,52,267,49.7781,32,189,46
31,418,51,231,49.7981,31,158,42
31,418,51,255,49.8181,29,185,41
31,418,51,258,49.8381,28,187,43
32,417,51,265,49.8581,31,188,46
33,416,51,255,49.8781,28,186,41
33,416,51,264,49.8981,26,199,39
33,416,51,262,49.9181,30,189,43
33,417,50,248,49.9381,33,174,41
33,417,50,232,49.9581,30,161,41
33,416,51,239,49.9781,29,164,46
33,416,51,238,49.9981,31,158,49
33,416,51,240,50.0181,27,169,44
32,417,51,251,50.0381,30,175,46
31,418,51,254,50.0581,33,176,45
30,418,52,254,50.0781,29,176,49
30,418,52,249,50.0981,31,176,42
31,417,52,256,50.1181,34,181,41
33,415,52,261,50.1381,25,188,48
34,414,52,241,50.1581,31,161,49
33,414,53,243,50.1781,29,171,43
33,414,53,243,50.1981,29,168,46
32,415,53,251,50.2181,32,171,48
32,415,53,249,50.2381,28,177,44
32,415,53,239,50.2581,31,165,43
32,415,53,260,50.2781,30,184,46
32,415,53,259,50.2981,32,181,46
33,414,53,254,50.3181,32,179,43
33,414,53,275,50.3381,30,197,48
33,413,54,256,50.3581,30,178,48
34,412,54,249,50.3781,29,177,43
34,412,54,245,50.3981,30,166,49
34,412,54,258,50.4181,30,184,44
34,412,54,259,50.4381,30,182,47
34,412,54,252,50.4581,26,184,42
34,412,54,253,50.4781,24,188,41
33,413,54,246,50.4981,28,173,45
32,414,54,248,50.5181,32,169,47
32,414,54,246,50.5381,31,168,47
32,414,54,237,50.5581,30,165,42
33,413,54,274,50.5781,30,195,49
34,412,54,233,50.5981,25,163,45
34,412,54,250,50.6181,30,172,48
33,413,54,248,50.6381,31,171,46
33,413,54,268,50.6581,28,190,50
33,413,54,272,50.6781,29,199,44
33,413,54,268,50.6981,26,192,50
33,413,54,258,50.7181,30,178,50
33,413,54,229,50.7381,26,160,43
33,413,54,252,50.7581,30,174,48
34,412,54,256,50.7781,29,181,46
35,411,54,256,50.7981,31,182,43
35,411,54,239,50.8181,29,167,43
35,411,54,247,50.8381,32,169,46
35,411,54,259,50.8581,28,179,52
35,411,54,249,50.8781,30,177,42
35,411,54,261,50.8981,31,182,48
35,411,54,262,50.9181,26,190,46
34,412,54,269,50.9381,30,196,43
34,412,54,252,50.9581,27,179,46
34,412,54,256,50.9781,28,181,47
36,410,54,273,50.9981,31,195,47
36,410,54,254,51.0181,31,178,45
36,410,54,258,51.0381,32,180,46
36,410,54,263,51.0581,30,192,41
36,410,54,256,51.0781,31,178,47
36,410,54,262,51.0981,32,188,42
36,410,54,255,51.1181,29,179,47
36,410,54,256,51.1381,29,179,48
