bike,car,walk,search,age,thoughtBike,thoughtCar,thoughtWalk
17,424,59,500,49.1781,32,415,53
16,424,60,271,49.1981,23,205,43
16,425,59,256,49.2181,17,194,45
16,425,59,265,49.2381,16,202,47
17,424,59,251,49.2581,22,185,44
17,427,56,238,49.2781,15,179,44
16,428,56,241,49.2981,21,178,42
16,429,55,262,49.3181,21,190,51
15,431,54,249,49.3381,22,184,43
16,430,54,239,49.3581,17,177,45
18,428,54,236,49.3781,21,168,47
19,427,54,239,49.3981,20,177,42
21,426,53,232,49.4181,18,171,43
21,426,53,258,49.4381,17,191,50
21,426,53,247,49.4581,15,181,51
19,427,54,234,49.4781,16,172,46
19,427,54,232,49.4981,16,169,47
20,426,54,242,49.5181,21,177,44
18,428,54,257,49.5381,18,193,46
18,429,53,246,49.5581,18,180,48
18,428,54,261,49.5781,19,192,50
17,429,54,245,49.5981,17,181,47
17,429,54,219,49.6181,18,156,45
16,429,55,226,49.6381,20,162,44
16,429,55,238,49.6581,17,172,49
16,429,55,241,49.6781,19,175,47
16,428,56,240,49.6981,20,175,45
18,426,56,217,49.7181,20,152,45
18,425,57,267,49.7381,19,199,49
19,423,58,242,49.7581,17,175,50
18,424,58,261,49.7781,16,194,51
19,423,58,254,49.7981,18,186,50
19,423,58,270,49.8181,19,202,49
19,423,58,246,49.8381,19,179,48
20,422,58,231,49.8581,19,166,46
19,422,59,243,49.8781,19,170,54
20,421,59,240,49.8981,20,176,44
20,422,58,234,49.9181,17,170,47
19,423,58,214,49.9381,19,147,48
19,423,58,239,49.9581,17,177,45
19,424,57,237,49.9781,14,171,52
19,424,57,241,49.9981,25,168,48
19,424,57,236,50.0181,16,172,48
20,423,57,238,50.0381,17,174,47
20,423,57,245,50.0581,18,179,48
20,423,57,244,50.0781,20,178,46
19,424,57,243,50.0981,23,174,46
19,424,57,256,50.1181,20,191,45
20,423,57,230,50.1381,21,162,47
20,423,57,250,50.1581,16,187,47
20,423,57,242,50.1781,21,177,44
20,423,57,257,50.1981,20,185,52
20,423,57,251,50.2181,18,185,48
20,423,57,244,50.2381,21,175,48
19,424,57,225,50.2581,22,155,48
19,424,57,267,50.2781,17,200,50
21,422,57,235,50.2981,22,165,48
20,423,57,237,50.3181,19,168,50
20,423,57,245,50.3381,20,178,47
20,423,57,243,50.3581,16,179,48
20,423,57,238,50.3781,18,171,49
20,423,57,242,50.3981,19,179,44
20,423,57,246,50.4181,20,178,48
21,422,57,262,50.4381,21,195,46
21,422,57,241,50.4581,22,165,54
21,422,57,261,50.4781,18,200,43
21,422,57,239,50.4981,17,175,47
21,422,57,226,50.5181,19,158,49
21,422,57,243,50.5381,18,179,46
21,422,57,241,50.5581,21,174,46
21,422,57,218,50.5781,21,149,48
21,422,57,254,50.5981,21,184,49
21,422,57,254,50.6181,22,183,49
21,422,57,258,50.6381,25,182,51
21,422,57,235,50.6581,24,159,52
21,422,57,248,50.6781,26,173,49
22,421,57,250,50.6981,22,184,44
22,421,57,254,50.7181,21,185,48
22,421,57,244,50.7381,20,177,47
22,421,57,226,50.7581,20,155,51
21,422,57,243,50.7781,22,168,53
21,422,57,233,50.7981,20,161,52
21,422,57,253,50.8181,20,187,46
20,423,57,238,50.8381,20,166,52
20,423,57,226,50.8581,21,152,53
21,422,57,240,50.8781,21,166,53
21,422,57,234,50.8981,19,163,52
21,422,57,255,50.9181,19,187,49
22,421,57,250,50.9381,16,184,50
22,421,57,229,50.9581,22,161,46
22,421,57,249,50.9781,20,176,53
21,422,57,257,50.9981,20,188,49
21,422,57,256,51.0181,16,188,52
21,422,57,240,51.0381,20,172,48
21,422,57,254,51.0581,21,183,50
21,422,57,280,51.0781,22,207,51
21,422,57,227,51.0981,23,160,44
21,422,57,241,51.1181,21,173,47
22,421,57,248,51.1381,23,172,53
