bike,car,walk,search,age,thoughtBike,thoughtCar,thoughtWalk
17,424,59,500,49.1781,34,397,69
15,424,61,259,49.1981,16,187,56
15,424,61,266,49.2181,21,189,56
15,424,61,255,49.2381,21,174,60
16,421,63,263,49.2581,21,186,56
17,420,63,241,49.2781,18,165,58
16,420,64,245,49.2981,20,165,60
16,420,64,265,49.3181,18,190,57
15,420,65,253,49.3381,19,179,55
15,419,66,264,49.3581,23,182,59
15,418,67,247,49.3781,19,167,61
16,417,67,266,49.3981,22,183,61
16,417,67,248,49.4181,23,166,59
16,417,67,249,49.4381,22,166,61
17,416,67,244,49.4581,20,166,58
17,416,67,263,49.4781,20,184,59
16,416,68,257,49.4981,23,174,60
17,415,68,264,49.5181,23,183,58
18,414,68,252,49.5381,20,174,58
18,414,68,258,49.5581,22,171,65
18,414,68,252,49.5781,20,172,60
20,412,68,248,49.5981,24,162,62
20,412,68,249,49.6181,21,165,63
20,412,68,228,49.6381,18,148,62
20,412,68,250,49.6581,22,169,59
20,412,68,261,49.6781,27,174,60
20,412,68,244,49.6981,21,162,61
20,412,68,240,49.7181,20,167,53
21,411,68,248,49.7381,22,165,61
21,411,68,251,49.7581,17,173,61
21,411,68,253,49.7781,22,170,61
21,410,69,266,49.7981,21,185,60
21,410,69,257,49.8181,22,174,61
21,410,69,257,49.8381,19,183,55
21,410,69,252,49.8581,24,169,59
20,410,70,256,49.8781,19,173,64
20,409,71,259,49.8981,25,174,60
20,409,71,263,49.9181,23,181,59
19,409,72,242,49.9381,22,161,59
19,409,72,259,49.9581,27,171,61
19,409,72,265,49.9781,21,179,65
20,408,72,262,49.9981,23,178,61
20,408,72,259,50.0181,18,173,68
20,408,72,240,50.0381,21,163,56
20,408,72,255,50.0581,21,176,58
21,407,72,259,50.0781,25,171,63
21,407,72,255,50.0981,29,171,55
21,407,72,252,50.1181,25,166,61
21,407,72,276,50.1381,22,191,63
21,407,72,259,50.1581,24,177,58
21,407,72,238,50.1781,27,156,55
22,406,72,233,50.1981,21,154,58
22,406,72,270,50.2181,25,182,63
22,406,72,253,50.2381,25,165,63
24,404,72,254,50.2581,26,168,60
24,404,72,245,50.2781,21,162,62
24,403,73,267,50.2981,23,183,61
24,403,73,246,50.3181,22,168,56
24,403,73,272,50.3381,23,184,65
26,401,73,274,50.3581,26,186,62
26,401,73,278,50.3781,27,183,68
26,401,73,263,50.3981,21,176,66
26,401,73,243,50.4181,26,161,56
26,401,73,258,50.4381,27,168,63
26,401,73,255,50.4581,25,163,67
26,401,73,272,50.4781,24,184,64
26,401,73,262,50.4981,25,176,61
26,401,73,260,50.5181,25,170,65
26,401,73,245,50.5381,25,161,59
26,401,73,274,50.5581,24,187,63
26,401,73,262,50.5781,29,174,59
26,401,73,253,50.5981,26,169,58
27,400,73,274,50.6181,26,186,62
27,400,73,248,50.6381,25,162,61
27,400,73,239,50.6581,22,156,61
28,399,73,264,50.6781,24,175,65
28,399,73,245,50.6981,24,159,62
28,399,73,266,50.7181,26,180,60
28,399,73,262,50.7381,25,176,61
28,399,73,259,50.7581,27,172,60
28,399,73,260,50.7781,26,172,62
28,399,73,271,50.7981,26,186,59
28,399,73,266,50.8181,24,186,56
28,399,73,270,50.8381,26,180,64
28,399,73,240,50.8581,26,155,59
28,399,73,268,50.8781,23,180,65
28,399,73,275,50.8981,27,183,65
28,398,74,265,50.9181,27,179,59
28,398,74,267,50.9381,25,180,62
28,398,74,250,50.9581,26,158,66
28,398,74,268,50.9781,26,180,62
28,398,74,260,50.9981,26,169,65
28,398,74,254,51.0181,26,166,62
28,398,74,248,51.0381,26,162,60
28,398,74,277,51.0581,26,190,61
28,398,74,269,51.0781,27,180,62
28,398,74,277,51.0981,23,188,66
28,398,74,244,51.1181,26,157,61
28,398,74,276,51.1381,27,193,56
