bike,car,walk,search,age,thoughtBike,thoughtCar,thoughtWalk
17,424,59,500,49.1781,30,416,54
17,423,60,288,49.1981,22,220,46
17,423,60,274,49.2181,23,206,45
17,423,60,242,49.2381,19,179,44
17,423,60,241,49.2581,21,175,45
17,422,61,242,49.2781,23,177,42
18,422,60,237,49.2981,26,168,43
18,422,60,258,49.3181,24,189,45
18,422,60,254,49.3381,24,181,49
18,422,60,248,49.3581,26,176,46
18,422,60,239,49.3781,24,172,43
19,422,59,261,49.3981,24,197,40
20,421,59,259,49.4181,24,186,49
20,421,59,250,49.4381,25,178,47
20,421,59,245,49.4581,25,172,48
21,421,58,237,49.4781,23,167,47
21,421,58,252,49.4981,25,184,43
21,420,59,240,49.5181,25,169,46
20,420,60,244,49.5381,25,172,47
19,420,61,247,49.5581,25,174,48
20,420,60,238,49.5781,26,164,48
20,420,60,238,49.5981,21,169,48
20,420,60,237,49.6181,23,170,44
20,420,60,245,49.6381,25,171,49
20,420,60,262,49.6581,24,187,51
20,420,60,278,49.6781,25,202,51
20,420,60,240,49.6981,27,165,48
20,420,60,253,49.7181,25,184,44
20,419,61,241,49.7381,24,166,51
20,419,61,243,49.7581,25,171,47
21,419,60,227,49.7781,24,159,44
21,419,60,247,49.7981,22,177,48
21,419,60,249,49.8181,23,182,44
22,418,60,240,49.8381,24,168,48
22,418,60,237,49.8581,26,170,41
22,418,60,235,49.8781,24,164,47
22,418,60,242,49.8981,24,175,43
22,418,60,240,49.9181,27,168,45
22,418,60,249,49.9381,25,181,43
22,418,60,261,49.9581,26,184,51
22,418,60,249,49.9781,27,175,47
22,418,60,243,49.9981,26,173,44
22,418,60,251,50.0181,25,183,43
22,418,60,242,50.0381,26,166,50
22,418,60,243,50.0581,25,174,44
22,418,60,249,50.0781,22,179,48
22,418,60,249,50.0981,23,183,43
23,418,59,254,50.1181,27,181,46
23,418,59,245,50.1381,27,170,48
23,418,59,253,50.1581,24,183,46
23,418,59,258,50.1781,23,189,46
24,418,58,239,50.1981,25,170,44
24,418,58,237,50.2181,26,162,49
24,418,58,251,50.2381,24,181,46
24,418,58,238,50.2581,26,165,47
24,418,58,254,50.2781,26,181,47
24,418,58,265,50.2981,28,192,45
24,418,58,257,50.3181,25,186,46
24,418,58,265,50.3381,28,191,46
24,418,58,233,50.3581,22,166,45
25,418,57,237,50.3781,27,163,47
25,418,57,258,50.3981,25,186,47
25,418,57,250,50.4181,24,186,40
25,418,57,236,50.4381,26,160,50
25,418,57,237,50.4581,27,169,41
25,418,57,249,50.4781,27,173,49
25,418,57,244,50.4981,22,177,45
25,418,57,223,50.5181,20,159,44
25,418,57,229,50.5381,25,157,47
25,418,57,249,50.5581,25,182,42
25,418,57,262,50.5781,28,189,45
25,418,57,258,50.5981,24,187,47
25,418,57,236,50.6181,23,168,45
25,418,57,253,50.6381,24,182,47
25,418,57,246,50.6581,26,174,46
25,418,57,249,50.6781,26,174,49
25,418,57,252,50.6981,25,182,45
25,418,57,260,50.7181,29,189,42
25,418,57,242,50.7381,26,172,44
25,418,57,257,50.7581,28,180,49
25,418,57,244,50.7781,24,175,45
25,418,57,230,50.7981,27,160,43
25,418,57,242,50.8181,27,173,42
26,418,56,248,50.8381,23,176,49
26,418,56,247,50.8581,27,173,47
26,418,56,252,50.8781,23,182,47
26,418,56,242,50.8981,27,170,45
26,418,56,234,50.9181,24,165,45
26,418,56,258,50.9381,28,183,47
26,418,56,245,50.9581,24,182,39
26,418,56,250,50.9781,25,180,45
26,418,56,244,50.9981,24,176,44
26,418,56,233,51.0181,25,165,43
26,418,56,256,51.0381,28,184,44
26,418,56,249,51.0581,27,178,44
27,417,56,249,51.0781,26,179,44
27,417,56,261,51.0981,25,188,48
27,417,56,256,51.1181,23,189,44
26,417,57,265,51.1381,25,190,50
