bike,car,walk,search,age,thoughtBike,thoughtCar,thoughtWalk
17,424,59,500,49.1781,30,416,54
18,424,58,282,49.1981,24,210,48
18,424,58,250,49.2181,22,182,46
17,424,59,244,49.2381,22,175,47
18,423,59,245,49.2581,21,177,47
18,422,60,240,49.2781,26,167,47
18,422,60,247,49.2981,23,178,46
19,422,59,237,49.3181,24,170,43
20,421,59,231,49.3381,24,160,47
20,421,59,257,49.3581,25,183,49
20,421,59,273,49.3781,26,199,48
20,421,59,258,49.3981,26,183,49
20,421,59,243,49.4181,24,172,47
21,421,58,248,49.4381,28,176,44
21,421,58,234,49.4581,25,166,43
21,421,58,251,49.4781,27,184,40
22,420,58,246,49.4981,26,174,46
22,420,58,259,49.5181,26,187,46
23,420,57,242,49.5381,26,172,44
23,419,58,258,49.5581,25,189,44
25,419,56,237,49.5781,26,163,48
25,419,56,241,49.5981,27,169,45
25,419,56,241,49.6181,24,169,48
25,419,56,234,49.6381,24,167,43
25,419,56,254,49.6581,26,183,45
26,419,55,259,49.6781,25,188,46
26,419,55,251,49.6981,27,177,47
26,419,55,251,49.7181,23,179,49
26,419,55,252,49.7381,25,176,51
26,419,55,259,49.7581,25,186,48
26,419,55,254,49.7781,25,181,48
26,418,56,263,49.7981,25,189,49
27,417,56,250,49.8181,27,179,44
28,417,55,249,49.8381,24,175,50
28,417,55,258,49.8581,27,185,46
27,417,56,259,49.8781,26,185,48
27,417,56,264,49.8981,22,192,50
27,417,56,235,49.9181,24,162,49
27,417,56,238,49.9381,22,168,48
26,417,57,264,49.9581,23,194,47
26,417,57,241,49.9781,24,170,47
26,417,57,239,49.9981,28,163,48
28,416,56,244,50.0181,28,171,45
28,416,56,233,50.0381,25,163,45
28,416,56,261,50.0581,23,190,48
28,416,56,245,50.0781,26,171,48
28,416,56,243,50.0981,26,168,49
28,416,56,240,50.1181,25,164,51
28,416,56,231,50.1381,24,164,43
28,416,56,244,50.1581,25,176,43
28,416,56,256,50.1781,27,182,47
28,416,56,256,50.1981,25,184,47
28,416,56,253,50.2181,28,177,48
28,416,56,274,50.2381,25,198,51
28,416,56,258,50.2581,26,183,49
28,416,56,259,50.2781,24,187,48
28,416,56,236,50.2981,26,163,47
28,416,56,263,50.3181,26,190,47
28,416,56,254,50.3381,26,178,50
28,416,56,264,50.3581,25,186,53
28,416,56,251,50.3781,25,177,49
28,416,56,241,50.3981,23,176,42
28,416,56,241,50.4181,24,171,46
28,416,56,249,50.4381,23,173,53
28,416,56,255,50.4581,25,182,48
28,416,56,249,50.4781,26,179,44
28,416,56,257,50.4981,27,180,50
28,416,56,254,50.5181,26,181,47
28,416,56,259,50.5381,25,187,47
28,416,56,252,50.5581,27,181,44
28,416,56,247,50.5781,20,179,48
28,416,56,252,50.5981,26,175,51
28,416,56,256,50.6181,26,178,52
28,416,56,256,50.6381,25,183,48
28,416,56,256,50.6581,25,184,47
28,416,56,252,50.6781,26,181,45
28,416,56,241,50.6981,23,168,50
28,416,56,248,50.7181,24,176,48
28,416,56,244,50.7381,26,177,41
28,416,56,253,50.7581,26,180,47
28,416,56,264,50.7781,25,192,47
28,416,56,248,50.7981,23,184,41
28,416,56,267,50.8181,25,196,46
28,416,56,246,50.8381,22,177,47
28,416,56,238,50.8581,24,171,43
28,416,56,228,50.8781,23,161,44
28,416,56,251,50.8981,26,178,47
28,416,56,238,50.9181,25,163,50
28,416,56,243,50.9381,24,168,51
28,416,56,246,50.9581,26,173,47
28,416,56,230,50.9781,24,163,43
28,416,56,253,50.9981,25,185,43
28,416,56,258,51.0181,24,192,42
28,416,56,244,51.0381,25,173,46
28,416,56,237,51.0581,27,165,45
28,416,56,264,51.0781,28,184,52
28,416,56,243,51.0981,25,177,41
28,416,56,242,51.1181,25,168,49
28,416,56,259,51.1381,27,182,50
28,416,56,250,51.1581,23,179,48
