bike,car,walk,search,age,thoughtBike,thoughtCar,thoughtWalk
17,424,59,500,49.1781,41,413,46
17,425,58,254,49.1981,26,193,35
17,428,55,239,49.2181,29,170,40
18,427,55,268,49.2381,28,198,42
16,429,55,245,49.2581,24,181,40
18,427,55,232,49.2781,25,164,43
18,427,55,242,49.2981,24,181,37
17,428,55,251,49.3181,22,189,40
16,429,55,232,49.3381,20,175,37
17,428,55,227,49.3581,27,159,41
18,427,55,225,49.3781,21,165,39
20,425,55,259,49.3981,21,197,41
20,426,54,242,49.4181,25,176,41
19,427,54,227,49.4381,23,167,37
20,426,54,251,49.4581,21,188,42
20,428,52,237,49.4781,23,177,37
20,428,52,239,49.4981,23,175,41
20,428,52,239,49.5181,21,176,42
20,428,52,233,49.5381,25,169,39
20,429,51,236,49.5581,24,173,39
21,429,50,221,49.5781,20,160,41
21,429,50,218,49.5981,16,160,42
20,430,50,236,49.6181,25,174,37
20,430,50,240,49.6381,21,184,35
22,429,49,241,49.6581,28,172,41
23,428,49,246,49.6781,21,184,41
23,428,49,231,49.6981,23,166,42
23,428,49,246,49.7181,24,177,45
22,429,49,251,49.7381,28,182,41
23,428,49,236,49.7581,24,169,43
23,428,49,237,49.7781,25,171,41
23,428,49,243,49.7981,24,173,46
23,428,49,254,49.8181,23,186,45
25,426,49,238,49.8381,22,172,44
26,425,49,239,49.8581,22,173,44
25,425,50,216,49.8781,26,151,39
24,426,50,233,49.8981,25,159,49
24,426,50,236,49.9181,28,166,42
24,426,50,225,49.9381,27,154,44
24,426,50,244,49.9581,29,171,44
24,427,49,243,49.9781,25,170,48
25,426,49,236,49.9981,26,164,46
25,426,49,245,50.0181,23,181,41
25,426,49,232,50.0381,24,161,47
25,426,49,216,50.0581,23,148,45
25,426,49,239,50.0781,25,169,45
23,426,51,240,50.0981,25,172,43
25,424,51,241,50.1181,25,172,44
24,425,51,239,50.1381,26,169,44
