bike,car,walk,search,age,thoughtBike,thoughtCar,thoughtWalk
17,424,59,500,49.1781,34,397,69
17,423,60,276,49.1981,21,195,60
18,421,61,253,49.2181,24,168,61
17,420,63,259,49.2381,23,178,58
17,420,63,252,49.2581,21,172,59
15,420,65,245,49.2781,20,167,58
15,420,65,253,49.2981,19,177,57
15,420,65,244,49.3181,18,169,57
15,419,66,233,49.3381,19,159,55
15,419,66,244,49.3581,21,166,57
16,418,66,249,49.3781,21,166,62
17,417,66,251,49.3981,19,178,54
17,417,66,252,49.4181,22,171,59
17,415,68,238,49.4381,21,163,54
17,415,68,269,49.4581,27,184,58
17,415,68,243,49.4781,18,165,60
17,415,68,248,49.4981,20,169,59
17,414,69,242,49.5181,23,158,61
17,414,69,236,49.5381,19,161,56
18,413,69,257,49.5581,21,181,55
18,413,69,259,49.5781,21,175,63
18,413,69,234,49.5981,21,157,56
19,412,69,250,49.6181,22,168,60
20,411,69,259,49.6381,21,182,56
22,409,69,266,49.6581,23,183,60
22,409,69,269,49.6781,24,187,58
22,409,69,248,49.6981,23,162,63
21,409,70,258,49.7181,25,179,54
21,409,70,264,49.7381,26,184,54
21,409,70,262,49.7581,24,179,59
21,409,70,260,49.7781,22,175,63
21,409,70,257,49.7981,21,178,58
21,409,70,273,49.8181,24,191,58
22,407,71,276,49.8381,27,187,62
22,407,71,258,49.8581,24,171,63
22,407,71,242,49.8781,23,161,58
23,406,71,256,49.8981,25,169,62
23,406,71,254,49.9181,25,163,66
24,405,71,260,49.9381,25,177,58
24,405,71,255,49.9581,27,166,62
24,405,71,258,49.9781,23,177,58
24,405,71,253,49.9981,27,168,58
24,405,71,261,50.0181,27,176,58
24,405,71,248,50.0381,24,160,64
24,405,71,258,50.0581,27,176,55
25,404,71,267,50.0781,26,180,61
25,404,71,236,50.0981,21,151,64
25,404,71,250,50.1181,26,167,57
25,404,71,247,50.1381,25,161,61
25,404,71,254,50.1581,24,170,60
25,404,71,278,50.1781,23,196,59
24,404,72,274,50.1981,27,182,65
24,404,72,239,50.2181,26,155,58
24,404,72,248,50.2381,25,163,60
24,404,72,284,50.2581,25,195,64
25,403,72,258,50.2781,28,170,60
25,403,72,258,50.2981,25,170,63
25,403,72,259,50.3181,26,167,66
26,402,72,264,50.3381,30,175,59
26,402,72,255,50.3581,26,170,59
26,402,72,274,50.3781,24,185,65
26,402,72,279,50.3981,27,193,59
26,402,72,246,50.4181,27,163,56
26,402,72,239,50.4381,26,157,56
26,402,72,265,50.4581,24,180,61
26,402,72,252,50.4781,26,168,58
26,402,72,246,50.4981,23,163,60
26,402,72,266,50.5181,27,179,60
28,400,72,252,50.5381,30,162,60
28,400,72,271,50.5581,27,180,64
28,400,72,260,50.5781,27,173,60
28,400,72,275,50.5981,26,190,59
28,400,72,256,50.6181,27,173,56
28,400,72,256,50.6381,26,173,57
28,400,72,277,50.6581,27,188,62
28,400,72,264,50.6781,30,175,59
28,400,72,255,50.6981,27,171,57
28,400,72,241,50.7181,26,155,60
28,400,72,240,50.7381,28,150,62
28,400,72,251,50.7581,25,166,60
28,400,72,261,50.7781,26,172,63
28,400,72,256,50.7981,25,169,62
28,400,72,252,50.8181,26,170,56
28,400,72,258,50.8381,25,170,63
28,400,72,254,50.8581,28,171,55
28,400,72,263,50.8781,27,181,55
28,400,72,263,50.8981,30,174,59
28,400,72,260,50.9181,29,171,60
28,400,72,269,50.9381,26,185,58
28,400,72,254,50.9581,26,180,48
28,400,72,258,50.9781,26,170,62
28,400,72,259,50.9981,24,176,59
28,400,72,256,51.0181,26,172,58
28,400,72,258,51.0381,27,170,61
28,400,72,251,51.0581,27,167,57
28,400,72,262,51.0781,26,174,62
28,400,72,269,51.0981,23,183,63
28,400,72,275,51.1181,25,189,61
28,400,72,270,51.1381,27,184,59
